"scenario","patch","AR_mean_pct","AR_sd_pct","peak_I_mean","peak_day_mean"
"Baseline","City_A",51.5,14.4,105,72
"Baseline","City_B",63.7,15.9,95,63.9
"Baseline","City_C",63.9,16.2,65,60.3
"Baseline","City_D",62.8,16,78,63.1
"Baseline","City_E",63.2,15.2,53,60.9
"Baseline","City_F",63.6,16,62,67.5
"Baseline","City_G",62.7,16.9,36,65.9
"Mobility","City_A",56.2,4.2,122,68.1
"Mobility","City_B",67.4,3.3,109,62.4
"Mobility","City_C",67.8,3.7,73,60.9
"Mobility","City_D",67,3.4,92,63.3
"Mobility","City_E",67,4.2,61,60.9
"Mobility","City_F",67.9,4.2,70,63.1
"Mobility","City_G",67.2,4.2,41,62.5
"Temperature","City_A",46.8,32.8,99,101.6
"Temperature","City_B",53.6,35.2,80,101.2
"Temperature","City_C",52.8,36,54,101.3
"Temperature","City_D",52.4,35.4,59,95
"Temperature","City_E",52.3,35.4,41,98
"Temperature","City_F",52.5,36,44,102.3
"Temperature","City_G",52.1,36.3,29,97.9
"Combined","City_A",60.4,17.1,103,109.7
"Combined","City_B",69.2,19,80,96.1
"Combined","City_C",69.5,19.3,58,90.9
"Combined","City_D",69.1,19,66,94.7
"Combined","City_E",68.3,19,44,93.4
"Combined","City_F",69.4,19.3,51,92.4
"Combined","City_G",68.8,19.3,32,94.6
